uniq_id,image_id,caption,image
490489,199134,a couple of men standing in front of a fan on a stage.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000199134.jpg
31790,41442,Two people on motorcycles riding them on dirt.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000041442.jpg
801904,31738,a baseball player throwing a pitch from the mound ,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000031738.jpg
81709,427344,The orange cat is sitting on top of the small television.  ,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000427344.jpg
423866,375709,A person by a table with some food.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000375709.jpg
194099,93756,A figure with an umbrella stands in front of a bridge. ,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000093756.jpg
215961,482801,a person with pink hair holding an umbrella in a crowd,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000482801.jpg
548428,145290,A lone straw umbrella sitting in the middle of a dirt field.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000145290.jpg
717327,580862,A surfer crouching low on his board races the surf.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000580862.jpg
767157,224029,The person is getting ready to hit the ball.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000224029.jpg
98385,46545,A green field filled with grazing black and white cattle.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000046545.jpg
11037,175565,A cocker spaniel sitting next to a woman holding a baby. ,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000175565.jpg
84828,86715,Two young men leaping into the air to catch a white frisbee.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000086715.jpg
247633,190075,a person standing on a surfboard while riding a wave.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000190075.jpg
667556,92522,A brown bird is perched on a branch of a tree.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000092522.jpg
38655,424300,A flock of birds flying through a forest.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000424300.jpg
169525,26900,A bus parked on the side of the road with a man getting stuff out of the back.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000026900.jpg
145706,476499,There is a red train at this station on the opposite side,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000476499.jpg
383942,55425,A row of parked motorcycles sitting on the side of a street.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000055425.jpg
700258,169395,A man is looking at an outdoor clock.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000169395.jpg
495607,271495,A man is in the kitchen chopping bell peppers.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000271495.jpg
170065,578497,two  red and white plates with an egg roll rice and other food and some sauces,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000578497.jpg
600694,429758,A couple of birds sitting on top of a rock next to the ocean.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000429758.jpg
262576,111417,a man who is para sailing on the ocean ,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000111417.jpg
793704,69878,A person holding a chicken sandwich in a paper container.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000069878.jpg
516474,453582,A number of kites flying high above a crowd,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000453582.jpg
701190,216314,A person walking in the sand while flying a kite. ,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000216314.jpg
50364,232389,Two pizza pies sitting on a table ready to eat.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000232389.jpg
717952,239120,A table topped with a bowl of food and a drink.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000239120.jpg
643859,350534,A professional baseball player signing a bat at a game.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000350534.jpg
405473,480717,A crowd of people demonstrating with police walking with them. ,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000480717.jpg
222610,538537,A woman pouring a glass of wine on a table.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000538537.jpg
798396,171075,"A room with a chair, pictures, cabinet and boxes.",https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000171075.jpg
335745,107436,A cat sitting on an entertainment center while staring at a tv screen.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000107436.jpg
721898,263231,A small bird holding a bug in it's mouth.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000263231.jpg
528785,475380,a dog is pulling on a frisbee with its owner,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000475380.jpg
539884,376426,A couple of carrots sitting next a white dish covered in carrot goo.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000376426.jpg
289235,523815,A man sliding a baking sheet with food on it into the oven.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000523815.jpg
656282,401847,Highway road sign announcing exit ahead for vehicle traffic.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000401847.jpg
286485,63230,A coffee shop with chairs and tables outside of the shop.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000063230.jpg
717500,157921,a couple of elephants are standing in a field,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000157921.jpg
429296,175523,A red food truck with a woman looking at the menu.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000175523.jpg
386761,357926,A clock and a counter in a room.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000357926.jpg
67389,378059,A bear walking around on a rock filled ground.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000378059.jpg
14217,467800,Cross country skiers skiing over snow covered ground.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000467800.jpg
433862,126681,A woman flies a kite at the beach.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000126681.jpg
732293,479038,The large tour bus has red lettering on the side of it. ,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000479038.jpg
117552,337158,"Urinal, toilet paper roll, and sink inside of a bathroom.",https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000337158.jpg
168845,534694,A baseball game in progress on a soccer field.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000534694.jpg
771396,343872,Sheep and a woman in a field in front of a cityscape.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000343872.jpg
770424,37582,A couple of grizzly bear fishing for cood in a river.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000037582.jpg
585532,271701,A cheesy pepperoni pizza sitting on top of a metal pan.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000271701.jpg
104876,181474,Man riding the waves on a surf board.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000181474.jpg
304187,329715,Man are standing near a couch holding Wii controllers.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000329715.jpg
355208,302685,A person in a wet suit riding a surfboard on a wave.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000302685.jpg
568075,221894,"A plate topped with carrots, apples and onion.",https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000221894.jpg
157332,288770,A cat sits by the window staring outside at the falling snowflakes.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000288770.jpg
539596,296987,A small boy skating on a pavement close to the wall,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000296987.jpg
